epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.9577,2.49436,4.16213,2.3463,0.01383,0.01339,0.00305,0.0009,3.01613,4.4048,2.09538,0.000474097,0.000474097,0.000474097
2,136.723,2.51938,3.59832,2.35642,0.02925,0.01042,0.00298,0.00081,3.4536,5.65634,2.86059,0.000941021,0.000941021,0.000941021
3,178.476,2.50259,3.47622,2.4258,0.34568,0.01786,0.00355,0.00086,3.33403,4.6115,2.52586,0.00139851,0.00139851,0.00139851
4,213.834,2.50253,3.51057,2.45951,0.33888,0.00893,0.00261,0.00073,3.29133,4.61898,2.50935,0.00138656,0.00138656,0.00138656
5,248.188,2.51115,3.51045,2.46688,0.3571,0.0253,0.00792,0.00234,3.37618,4.72668,2.64187,0.00137241,0.00137241,0.00137241
6,282.417,2.44425,3.46925,2.41712,0.00169,0.10288,0.00195,0.00051,3.50747,4.98287,2.72007,0.00135826,0.00135826,0.00135826
7,316.601,2.41685,3.36202,2.40486,0.02102,0.02597,0.00226,0.00079,3.27629,5.58929,2.50253,0.00134412,0.00134412,0.00134412
8,352.389,2.37508,3.33862,2.37594,0.00225,0.12702,0.0027,0.00087,3.36608,4.39314,2.56257,0.00132997,0.00132997,0.00132997
9,387.481,2.36095,3.28701,2.3659,0.02361,0.02679,0.00634,0.00208,3.1929,4.21663,2.42287,0.00131582,0.00131582,0.00131582
10,422.472,2.3273,3.22739,2.34301,0.36895,0.02827,0.01137,0.00373,3.21771,4.26496,2.47978,0.00130168,0.00130168,0.00130168
11,458.607,2.28827,3.15126,2.31366,0.35471,0.02232,0.00578,0.00198,3.27062,4.14352,2.55332,0.00128753,0.00128753,0.00128753
12,495.313,2.23558,3.09572,2.2815,0.36599,0.01488,0.00641,0.00243,3.26413,4.17577,2.46187,0.00127338,0.00127338,0.00127338
13,531.756,2.21167,3.02373,2.2663,0.37362,0.03308,0.01129,0.00328,3.3656,3.9918,2.69405,0.00125923,0.00125923,0.00125923
14,568.722,2.17192,2.9462,2.23132,0.04339,0.01339,0.00873,0.00347,3.15808,4.2803,2.37527,0.00124509,0.00124509,0.00124509
15,606.364,2.16242,2.92386,2.23298,0.37293,0.03274,0.0104,0.00296,3.17537,3.9786,2.42478,0.00123094,0.00123094,0.00123094
16,645.407,2.17917,2.91381,2.23212,0.06683,0.02563,0.01027,0.00326,3.06523,4.08313,2.31336,0.00121679,0.00121679,0.00121679
17,683.236,2.16997,2.89421,2.21856,0.36838,0.0253,0.00974,0.00347,3.06234,4.16194,2.32195,0.00120265,0.00120265,0.00120265
18,718.754,2.08733,2.79184,2.15864,0.03118,0.02712,0.00929,0.00337,2.9955,4.11401,2.28086,0.0011885,0.0011885,0.0011885
19,755.439,2.09099,2.75335,2.19729,0.02548,0.03159,0.01227,0.00359,3.09217,3.93189,2.38176,0.00117435,0.00117435,0.00117435
20,790.96,2.0675,2.71231,2.12816,0.02211,0.03754,0.01281,0.00459,3.00526,4.30442,2.28652,0.00116021,0.00116021,0.00116021
21,826.433,2.04122,2.74171,2.12416,0.06053,0.02138,0.00789,0.00252,3.09907,4.26567,2.35802,0.00114606,0.00114606,0.00114606
22,862.096,2.00744,2.6638,2.08959,0.02789,0.02976,0.01462,0.00442,3.14594,3.90531,2.3671,0.00113191,0.00113191,0.00113191
23,898.842,1.98931,2.61971,2.08719,0.03361,0.01339,0.00821,0.00245,3.15804,4.30514,2.36223,0.00111776,0.00111776,0.00111776
24,934.224,2.00184,2.6213,2.09027,0.02696,0.06899,0.01028,0.00251,3.14814,4.40397,2.38014,0.00110362,0.00110362,0.00110362
25,969.692,1.96942,2.56602,2.05411,0.04665,0.0349,0.01205,0.00328,3.18371,4.33137,2.39373,0.00108947,0.00108947,0.00108947
26,1004.91,1.96065,2.50236,2.0369,0.37388,0.03044,0.0107,0.0027,3.08848,4.40236,2.29686,0.00107532,0.00107532,0.00107532
27,1040.02,1.95839,2.50963,2.0668,0.02874,0.02976,0.00828,0.00198,3.1875,4.20002,2.42031,0.00106118,0.00106118,0.00106118
28,1076.89,1.93257,2.42284,2.02863,0.05456,0.05045,0.01346,0.00396,3.0196,4.293,2.20741,0.00104703,0.00104703,0.00104703
29,1113.36,1.9347,2.41465,2.02822,0.09712,0.04829,0.01462,0.00337,3.1266,4.2128,2.35179,0.00103288,0.00103288,0.00103288
30,1149.35,1.92167,2.46159,2.02108,0.36729,0.03192,0.01132,0.00401,3.00941,4.11118,2.27834,0.00101873,0.00101873,0.00101873
31,1187.67,1.89998,2.39003,2.01086,0.02562,0.04714,0.00962,0.00284,2.98383,4.04281,2.31189,0.00100459,0.00100459,0.00100459
32,1223.1,1.90192,2.33886,2.00314,0.09975,0.06351,0.02073,0.00641,3.04492,3.95906,2.27868,0.00099044,0.00099044,0.00099044
33,1258.44,1.85834,2.30869,1.98115,0.08741,0.08616,0.02102,0.00602,2.97231,3.98987,2.16945,0.000976293,0.000976293,0.000976293
34,1293.73,1.88533,2.31451,1.9775,0.03558,0.02827,0.01037,0.00371,3.04372,4.2179,2.2482,0.000962146,0.000962146,0.000962146
